category,datetime,image_1,image_2,name,page,tag,url
tables,2021-01-05 18:14:24.742502,https://st.hzcdn.com/fimgs/8ae10ac90fd156a5_5385-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2ca122380b298988_5043-w65-h65-b0-p0--.jpg,"71"" Modern Table With Brown Finish Wood Tabletop & Metal Legs Six 6 seating, Dar",1,"25 To 29 Inches,70 To 79 Inches,black,brown,Brown Finish,commerical,contemporary,Dark,Dining,dining tables,espresso,farmhouse,for,gray,Home,kitchen,living room,Mediterranean,modern,natural finish,Outdoor,Rectangle Shape,restaurant,room,steel,traditional,walnut,wooden,work",https://www.houzz.com/products/71-modern-table-with-brown-finish-wood-tabletop-and-metal-legs-six-6-seating-dar-prvw-vr~96070485
tables,2021-01-05 18:14:24.766220,https://st.hzcdn.com/fimgs/87d180980da9f6a4_2051-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/54a1b3730da9f6aa_2050-w65-h65-b1-p0--.jpg,"Faux White Marble Tulip Dining Table, Round Kitchen Table, Glam Gold Table, 60""",1,"circle,glam dining table,glamorous regency table,gold dining table,hollywood regency dining table,kitchen table,luxe dining table,Mid Century Dining Table,modern dining table,Round Marble Dining Table,Saarinen dining table,Saarinen Round Dining Table,tulip dining table,white dining table,white marble dining table",https://www.houzz.com/products/faux-white-marble-tulip-dining-table-round-kitchen-table-glam-gold-table-60-prvw-vr~150256324
tables,2021-01-05 18:14:25.689657,https://st.hzcdn.com/fimgs/4cd19ded0e751a36_0665-w65-h65-b1-p0--.jpg,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/cc3f8429-f9ee-4b6c-b0e7-8b0d8c670f3b/main/300x300/23s255ms/match/image.jpg,"Curata 72"" Round Dining Table",1,"benjamin rugs & furniture,furniture,gray dining tables,Hooker furniture,hooker furniture curata round dining table - 72"" round,Kitchen & Dining Room Tables,metal dining tables,tables,transitional dining tables",https://www.houzz.com/products/curata-72-round-dining-table-prvw-vr~167370366
tables,2021-01-05 18:14:25.856330,https://st.hzcdn.com/fimgs/36b1df0a07e02d5f_6350-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/83511d1507f29f66_6300-w65-h65-b1-p0--.jpg,Sullivan Dining Table,1,"dark dining table,dining room,dining table,farmhouse,formal dining,furniture,industrial,rustic,table,wood and metal",https://www.houzz.com/products/sullivan-dining-table-prvw-vr~66691955
tables,2021-01-05 18:14:26.265087,https://st.hzcdn.com/simgs/81810de60b97aaa7_4-1265/home-design.jpg,,"Hartland Table 42"" Diameter Round Table, Linen White Finish",1,,https://www.houzz.com/products/hartland-table-42-diameter-round-table-linen-white-finish-prvw-vr~127605460
tables,2021-01-05 18:14:26.585622,https://st.hzcdn.com/fimgs/e0c102a6077ea0f9_5535-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/3ee1153f077ea0fa_5535-w65-h65-b0-p0--.jpg,Cleo Contemporary Dining Table In Stainless Steel With Clear Glass,1,"dining room furniture,dining table,glass,glass dining table,silver,silver dining table,stainless steel,stainless steel dining table,transitional,Transitional Dining Table",https://www.houzz.com/products/cleo-contemporary-dining-table-in-stainless-steel-with-clear-glass-prvw-vr~57266509
tables,2021-01-05 18:14:26.675045,https://st.hzcdn.com/fimgs/3191230c096e219a_6873-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/d7c13e400963d2f5_6873-w65-h65-b0-p0--.jpg,Fiorina Dining Table,1,"acrylic dining table,CARYLIC DINING TABLE,CONTEMPORARY ACYLIC DINING TABLE,design dining table,DIINIG TABLE,dining room table wood,DISTRESSE WOOD DINING TABLE,Glass Dining Table Top,modern dining table,walnut dining table,wood and acrylic glass dinig table,wood dinig table",https://www.houzz.com/products/fiorina-dining-table-prvw-vr~96072218
tables,2021-01-05 18:14:26.707927,https://st.hzcdn.com/fimgs/1b21d2ba0bff6080_5009-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/0381fe070bff6071_5009-w65-h65-b1-p0--.jpg,Wall-Mounted Drop-Leaf Table Folding Kitchen Dining Table Desk,1,"breakfast table,dining furniture,dining room table and c,dining room tables,dining table,Dining Table and Chairs,dining table chairs,dining table with benc,farmhouse dining table,farmhouse table,Kitchen Dining Table Desk,kitchen table,narrow dining table,small dining table,small kitchen table,wood dining table",https://www.houzz.com/products/wall-mounted-drop-leaf-table-folding-kitchen-dining-table-desk-prvw-vr~133616676
tables,2021-01-05 18:14:26.930279,https://st.hzcdn.com/fimgs/a07163d10a0c3700_4686-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/c2c184d40924cb7e_4686-w65-h65-b0-p0--.jpg,Modrest Jett Modern Walnut End Table,1,"accent table,eco-friendly end table,end table,mid century modern end table,rubberwood end table,scandinavian end table,side table,walnut end table",https://www.houzz.com/products/modrest-jett-modern-walnut-end-table-prvw-vr~93792163
tables,2021-01-05 18:14:27.697052,https://st.hzcdn.com/simgs/2011a5c207185975_4-6030/home-design.jpg,,"30'' Round Walnut Laminate Table Top, 22''x22'' Table Height Base",1,"accent table,activity table,banquet table,barheighttable,barstool,bookrack,dining chair,dining table,dining table set,end table,folding chairs,height stool,leather chair,lether sofa,loveseat,marker board,microfiber recliner,office chairs,ottoman set,outdoor table,padded seat,plastic chair,sofa,stool",https://www.houzz.com/products/30-round-walnut-laminate-table-top-22-x22-table-height-base-prvw-vr~84674444
chairs,2021-01-05 18:14:28.043424,https://st.hzcdn.com/fimgs/38f195490ae8fffe_9568-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/b6b1b8190ae90000_7498-w65-h65-b1-p0--.jpg,"Giselle Velvet Dining Chairs, Set of 2, Pink, Gold Base",1,"accent chair,armless,Dining,elegant,metal,modern,traditional,upholstered,velvet",https://www.houzz.com/products/giselle-velvet-dining-chairs-set-of-2-pink-gold-base-prvw-vr~118265642
tables,2021-01-05 18:14:28.063968,https://st.hzcdn.com/simgs/5da1ec1e085bcf5f_4-6217/home-design.jpg,,30'' Square Black Laminate Table Top With 22''x22'' Table Height Base,1,"accent table,activity table,banquet table,barheighttable,barstool,bookrack,dining chair,dining table,dining table set,end table,folding chairs,height stool,leather chair,lether sofa,loveseat,marker board,microfiber recliner,office chairs,ottoman set,outdoor table,padded seat,plastic chair,sofa,stool",https://www.houzz.com/products/30-square-black-laminate-table-top-with-22-x22-table-height-base-prvw-vr~160671573
tables,2021-01-05 18:14:28.712158,https://st.hzcdn.com/simgs/451159480a78cddf_4-3862/home-design.jpg,,Coaster Accent Tables Chairside Table With Storage Drawer and Outlet,1,"900577,accent table,antique nutmeg accent table,chair and side table,chair side table,coaster,Coffee and Accent Tables,coffee table,contemporary,drawers,end table,home accent,home decor,living room side table,metal,metal base,modern accent tables,rectangular,side table,Side Tables and End Tables,table with outlet,table with power outlet,transitional,wood top",https://www.houzz.com/products/coaster-accent-tables-chairside-table-with-storage-drawer-and-outlet-prvw-vr~143157783
chairs,2021-01-05 18:14:29.083085,https://st.hzcdn.com/fimgs/7c81b7fd0e86323d_3131-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a33145e40e863243_3131-w65-h65-b0-p0--.jpg,"Serene Linen Down Filled Overstuffed Cloud Modular Chair, Cream, Armless Chair",1,"cloud,cloud armless chair,contemporary,cream,easily attach using attachment latch underneath,elegant,furniture,modern,modular,overstuffed down feather cushions,upholstered,velvet",https://www.houzz.com/products/serene-linen-down-filled-overstuffed-cloud-modular-chair-cream-armless-chair-prvw-vr~156859763
chairs,2021-01-05 18:14:29.263116,https://st.hzcdn.com/fimgs/45e195370f9071ee_2532-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1301cc0c0f9071ef_3789-w65-h65-b0-p0--.jpg,"Alfred Dining Chairs, Set of 4, Light Beige With Blue Floral, Espresso Fabric",1,,https://www.houzz.com/products/alfred-dining-chairs-set-of-4-light-beige-with-blue-floral-espresso-fabric-prvw-vr~158103225
